"wbcode","year","dem","gdppc","ln_gdppc","trade"
"ALB",2000,1,1991.91435867116,7.59685144458537,61.6092610436407
"ALB",2001,1,2188.91854451375,7.6911628855531,64.2474462587009
"ALB",2002,1,2297.10853513924,7.73940645239529,65.9914650336802
"ALB",2003,1,2428.68934653563,7.79510702726016,64.8232150960777
"ALB",2004,1,2567.29763687121,7.85060912150902,65.0379383187697
"ALB",2005,1,2712.86983830331,7.90576233447273,69.1162926602322
"ALB",2006,1,2894.36032580174,7.97051940731994,72.2019089483674
"ALB",2007,1,3105.8796756386,8.04105226362747,79.9119008919954
"ALB",2008,1,3345.98161761476,8.11551538769269,75.2485472798728
"ALB",2009,1,3459.24695646692,8.14880620172456,73.3213575646169
"ALB",2010,1,3579.82413181046,8.18306895299546,75.5325329687378
"ARG",1960,0,7397.10965495682,8.90884461572523,15.2080960873797
"ARG",1961,0,7670.59545571641,8.94514952573075,11.9898923109727
"ARG",1962,0,7480.27172420174,8.92002439707366,14.0755256495637
"ARG",1963,0,6967.75019555221,8.84904766765322,15.7809062353749
"ARG",1964,0,7551.02490778789,8.92943858240584,11.1274296795488
"ARG",1965,0,8219.55155637229,9.01427093137618,10.3764574099485
"ARG",1966,0,8041.22487411475,8.99233669809602,11.6426054171411
"ARG",1967,0,8172.27456469042,9.00850255359758,12.4926603729179
"ARG",1968,0,8436.30856351031,9.04030011792243,11.8881648852942
"ARG",1969,0,9111.9459748551,9.11734157609881,12.7974266330598
"ARG",1970,0,9244.12251785153,9.13174322507662,10.3374440809233
"ARG",1971,0,9614.61061692134,9.17103915974276,12.6151889155439
"ARG",1972,0,9617.68814943737,9.17135919767267,14.0356431972715
"ARG",1973,1,9729.53258885903,9.1829211358822,13.3221685115576
"ARG",1974,1,10100.4469136163,9.2203349507233,13.1915798576321
"ARG",1975,1,9936.49583447894,9.20396970575413,11.8027242947756
"ARG",1976,0,9584.74851751038,9.16792841804743,15.0968846242519
"ARG",1977,0,10088.3374871635,9.21913533140352,16.942286567935
"ARG",1978,0,9480.94009490414,9.15703875646156,14.3237963724369
"ARG",1979,0,10284.6064087552,9.2384035328818,12.8406846411368
"ARG",1980,0,10275.7987023886,9.23754676893598,11.5456724606844
"ARG",1981,0,9587.67379423426,9.16823357268037,14.2929774788834
"ARG",1982,0,9365.68465387847,9.14480771993456,15.6114860999886
"ARG",1983,1,9617.7000569575,9.17136043575739,14.9876701068591
"ARG",1984,1,9614.44726215357,9.17102216933493,12.3463814292217
